,title,summaries,airdates,rankings,total_votes,links
694,Diary Queen,"Bart learns a surprising secret when he finds Mrs. Krabappel's diary at a yard sale, while Lisa discovers an even bigger surprise.",21 Feb. 2021,6.8,716,https://www.imdb.com/title/tt13622638/
695,Wad Goals,"Bart becomes a successful caddy, but Marge thinks it may ruin his character.",28 Feb. 2021,6.2,615,https://www.imdb.com/title/tt13653422/
696,Yokel Hero,"Cletus becomes a singing sensation and ruins everything when he turns on his fans, while Homer becomes a new man.",7 Mar. 2021,5.5,574,https://www.imdb.com/title/tt13671518/
697,Do Pizza Bots Dream of Electric Guitars,"Homer tries to reunite a mechanical band from his youth, but J.J. Abrams beats him to it.",14 Mar. 2021,5.9,599,https://www.imdb.com/title/tt13671526/
698,Manger Things,A secret from Flanders' past and a never-before-seen room in the Simpson home are revealed.,21 Mar. 2021,6.4,571,https://www.imdb.com/title/tt13800512/
699,Uncut Femmes,Sarah Wiggum is more than she seems; Marge participates in a jewel heist.,28 Mar. 2021,6.4,590,https://www.imdb.com/title/tt13977674/
700,Burger Kings,"Mr. Burns joins the plant-based burger business, convincing Lisa that he's changed for the better.",11 Apr. 2021,6.6,547,https://www.imdb.com/title/tt13977692/
701,Panic on the Streets of Springfield,Lisa's imaginary friend is a depressed British singer from the 1980s; Homer becomes a truck guy.,18 Apr. 2021,6.1,691,https://www.imdb.com/title/tt13977716/
702,Mother and Child Reunion,"In the future, Lisa makes a shocking college decision that hurts Marge, leading to a surprising place.",9 May 2021,6.7,532,https://www.imdb.com/title/tt14056918/
703,The Man from G.R.A.M.P.A.,A British secret agent comes to Springfield to find a Russian spy.,16 May 2021,6.2,490,https://www.imdb.com/title/tt14056916/
704,The Last Barfighter,A secret society of bartenders seeks revenge on Homer and his friends when Moe breaks their most sacred rule.,23 May 2021,7.4,618,https://www.imdb.com/title/tt14016204/
705,The Star of the Backstage,"Marge stages a revival of a musical from high school, but her pleasant memories are threatened by the return of her old rival.",26 Sep. 2021,4.3,1003,https://www.imdb.com/title/tt14167092/
706,Bart's in Jail!,"When Grampa falls victim to a phone scam, the Simpsons set out to get his money back.",3 Oct. 2021,7.0,636,https://www.imdb.com/title/tt14437466/
707,Treehouse of Horror XXXII,"The 32nd annual Simpsons Halloween special includes a spoof of ""Parasite"" and a segment where Bambi gets his revenge.",10 Oct. 2021,6.7,675,https://www.imdb.com/title/tt14457876/
708,The Wayz We Were,Moe is faced with a difficult choice when Evergreen Terrace develops a traffic problem.,17 Oct. 2021,6.9,535,https://www.imdb.com/title/tt14457882/
709,Lisa's Belly,Lisa reacts to a hurtful word spoken by Marge while Bart gets swole.,24 Oct. 2021,6.8,606,https://www.imdb.com/title/tt14457894/
710,A Serious Flanders,Homer and Ned get sucked into the violent world of prestige TV when a ruthless debt collector comes to Springfield.,7 Nov. 2021,8.2,883,https://www.imdb.com/title/tt14457906/
711,A Serious Flanders: Part 2,Things go from bad to worse for Homer and Ned.,14 Nov. 2021,8.2,755,https://www.imdb.com/title/tt14457916/
712,Portrait of a Lackey on Fire,"Smithers finds true love with a famous fashion designer, but this new relationship may destroy Springfield.",21 Nov. 2021,6.0,566,https://www.imdb.com/title/tt14457928/
713,Mothers and Other Strangers,"In a flashback to his teen years, Homer goes on a road trip with his father to search for his mother.",28 Nov. 2021,6.3,448,https://www.imdb.com/title/tt14457932/
714,A Made Maggie,Fat Tony becomes Maggie's godfather.,19 Dec. 2021,6.9,432,https://www.imdb.com/title/tt14457938/
715,The Longest Marge,Marge battles Mr. Burns for the soul of a brash young football prodigy.,2 Jan. 2022,5.8,404,https://www.imdb.com/title/tt14457944/
716,Pixelated and Afraid,Homer and Marge must push themselves to their limits when they get lost in an icy wilderness.,27 Feb. 2022,7.6,550,https://www.imdb.com/title/tt14457958/
717,Boyz N the Highlands,"Bart, Martin and the bullies run for their lives when a weekend in the wilderness takes a dark turn.",6 Mar. 2022,6.6,398,https://www.imdb.com/title/tt14457978/
718,You Won't Believe What This Episode Is About - Act Three Will Shock You!,Homer becomes a pariah when footage of him allegedly leaving Santa's Little Helper in a hot car goes viral.,13 Mar. 2022,6.3,393,https://www.imdb.com/title/tt14457992/
719,Bart the Cool Kid,Homer leads a rebellion of loser dads against the friendship between Bart and a famous kid influencer.,20 Mar. 2022,6.5,376,https://www.imdb.com/title/tt14458006/
720,Pretty Whittle Liar,Cletus feels betrayed when he learns that Brandine can read.,27 Mar. 2022,6.2,333,https://www.imdb.com/title/tt14458018/
721,The Sound of Bleeding Gums,Lisa meets the son of the late Bleeding Gums Murphy and tries to improve his life.,10 Apr. 2022,5.8,381,https://www.imdb.com/title/tt14458034/
722,My Octopus and a Teacher,Bart has romantic feelings for his new teacher; Lisa befriends an octopus.,24 Apr. 2022,6.6,348,https://www.imdb.com/title/tt14458056/
723,Girls Just Shauna Have Fun,Lisa finds an unlikely mentor in Shauna Chalmers when she joins the high school marching band; Homer becomes a craft beer brewer.,1 May 2022,6.6,325,https://www.imdb.com/title/tt14458070/
724,Marge the Meanie,"Marge bonds with Bart when she discovers a secret from her past, terrifying Homer.",8 May 2022,6.7,301,https://www.imdb.com/title/tt14458078/
725,Meat Is Murder,Grampa reconnects with an old associate in the hamburger business.,15 May 2022,5.8,335,https://www.imdb.com/title/tt14458098/
726,Poorhouse Rock,"Bart finally learns to admire Homer, but a visit from a magical singing janitor changes everything they thought they knew.",22 May 2022,5.6,515,https://www.imdb.com/title/tt14458122/
